cuda_gpu,cuda_peak_allocated_mb,cuda_peak_reserved_mb,epoch,epoch_duration_sec,learning_rate,train_batches_per_sec,train_center,train_duration_sec,train_images_per_sec,train_iou,train_objectness,train_size,train_total,val_ap50,val_ap75,val_batches_per_sec,val_center,val_duration_sec,val_eval_score_filtered_predictions,val_f1,val_false_negatives,val_false_positives,val_images_per_sec,val_iou,val_map50_95,val_nms_candidate_predictions,val_objectness,val_post_nms_predictions,val_post_nms_predictions_per_image,val_precision,val_raw_predictions,val_recall,val_size,val_total,val_true_positives,val_valid_predictions
NVIDIA GeForce GTX 1660 SUPER,479.521484375,590.0,0,252.01873135566711,0.001,4.570049345195397,0.040024165549526376,185.55598330497742,9.140098690390793,0.4970774524757322,0.4943092413299348,0.08644073854644238,1.3643889983167063,0.2411145716905594,0.00742737390100956,3.413405782928891,0.019196041324933067,36.03439140319824,1997691,0.02344937975190076,197.0,24207.0,6.799060299329905,0.44106813199151823,0.065841426877887,122500,0.18217173527653624,24500,100.0,0.011959183673469388,1999200,0.5979591836734693,0.07617639351212155,0.8715728618265167,293.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.521484375,590.0,1,253.57849836349487,0.001,4.366177796026208,0.01682211854055805,194.2202172279358,8.732355592052416,0.36328055850177443,0.13083557324936473,0.042855566203317444,0.6639378578665683,0.5322021842002869,0.07597991824150085,4.2032828614797175,0.01094075834508266,29.26284146308899,1800729,0.03129251700680272,99.0,24109.0,8.37239269156529,0.339156825489145,0.1918461567722261,122500,0.07326742032981985,24500,100.0,0.015959183673469386,1999200,0.7979591836734694,0.04311595762496799,0.5533599543377636,391.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.521484375,590.0,2,247.9363317489624,0.001,4.520558886647658,0.013822726738822585,187.58742475509644,9.041117773295316,0.3171723410135733,0.08764042143648455,0.029952324964193942,0.5338310445043838,0.6862160563468933,0.10821998864412308,4.0729635288620765,0.011508304421312926,30.199141025543213,1107890,0.04325626204238921,41.0,19821.0,8.112813533099258,0.29742560674989127,0.25217509453505044,122500,0.05385614209997702,24500,100.0,0.022150962012826837,1999200,0.9163265306122449,0.026783514033427568,0.46239029828125866,449.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.521484375,590.0,3,249.95361375808716,0.001,4.4781563948390435,0.012457300376689021,189.36364102363586,8.956312789678087,0.2926223848436801,0.06417658962891437,0.024166040946751448,0.46741755928773926,0.7163224816322327,0.11474484950304031,4.063307780277165,0.00908928081332668,30.270904064178467,1100529,0.038115816767502156,49.0,22209.0,8.09358053795045,0.2921198023770883,0.2778146595694125,122500,0.048711747763966154,24500,100.0,0.019470198675496687,1999200,0.9,0.028288657493071585,0.44285526968599337,441.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.521484375,590.0,4,243.64446806907654,0.001,4.632217492408015,0.011532157477357134,183.0656702518463,9.26443498481603,0.2796083547631806,0.05696203480178121,0.02131125586873957,0.4368536886846963,0.7606130242347717,0.10547897964715958,4.086470547427852,0.007713326415789079,30.099323749542236,1233642,0.037077514673143096,32.0,23757.0,8.139717757071738,0.3008564045516456,0.2741493017601897,122500,0.04824250645753814,24500,100.0,0.018913896345240554,1999200,0.9346938775510204,0.025089316649317014,0.4378441762391145,458.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.521484375,590.0,5,249.42540907859802,0.001,4.525095313778338,0.010672295029164744,187.39936757087708,9.050190627556676,0.2638666750511752,0.04326072871742138,0.0186633568611007,0.3978155925167057,0.8009562492370605,0.12812931835651398,3.8666019409180428,0.008075164163928115,31.810877323150635,664622,0.04900754373762773,32.0,17743.0,7.701768093698541,0.2873922167270164,0.2993055799470312,122500,0.026128487510046337,24500,100.0,0.025163452557551782,1999200,0.9346938775510204,0.02571053585658471,0.40531759654603355,458.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.521484375,590.0,6,248.16383957862854,0.001,4.526569050467668,0.0098481803494717,187.3383550643921,9.053138100935335,0.25652117261065627,0.036244604148998646,0.017261063013067096,0.37652880556108254,0.8086557388305664,0.2640739977359772,3.984692337209022,0.008645678460560134,30.86812973022461,435737,0.05364831839869662,29.0,16235.0,7.936988801757808,0.24537638144764473,0.351952072486165,122500,0.034306933005469116,24500,100.0,0.027611403929084812,1999200,0.9408163265306122,0.01748923928669949,0.35789018433268477,461.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.521484375,590.0,7,191.43654322624207,0.001,6.365731877513215,0.009022265028143697,133.213276386261,12.73146375502643,0.2436235851063481,0.031086441097047425,0.01499492296331808,0.34981119697737806,0.7875823974609375,0.24363432824611664,4.533217354065728,0.007832149274616949,27.133047103881836,718537,0.042838990742421486,18.0,21074.0,9.029579282488646,0.23941401640574136,0.34521621111707645,122500,0.029242739452397436,24500,100.0,0.021906618397846467,1999200,0.963265306122449,0.01635578138719699,0.3405290647008555,472.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.521484375,590.0,8,183.3154001235962,0.001,6.946021589480049,0.00837777015414827,122.08427357673645,13.892043178960098,0.2389234678011458,0.027485451298350696,0.013844260215300205,0.3359862906014863,0.8885534405708313,0.3429344892501831,3.975497559458514,0.0062135691310627374,30.939523458480835,383338,0.062064019818762625,14.0,14373.0,7.918674000547447,0.231128363711078,0.4305666003754595,122500,0.017852418524084417,24500,100.0,0.032056030709138664,1999200,0.9714285714285714,0.01553129104564224,0.31111121080755216,476.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.521484375,590.0,9,245.68267560005188,0.001,4.605412256581945,0.0075920411579987425,184.13118147850037,9.21082451316389,0.2248365881343214,0.02299207823932004,0.012028760297670367,0.30984639274483583,0.8821099996566772,0.3116077780723572,3.923104267321963,0.007359803850171951,31.352722644805908,396234,0.07427180654785272,17.0,11774.0,7.814313377999032,0.23511422807123603,0.4082809130748501,122500,0.017211929336568812,24500,100.0,0.03862170327427125,1999200,0.9653061224489796,0.014541460960209975,0.3182080990172983,473.0,1999200
