cuda_gpu,cuda_peak_allocated_mb,cuda_peak_reserved_mb,epoch,epoch_duration_sec,learning_rate,train_batches_per_sec,train_center,train_duration_sec,train_images_per_sec,train_objectness,train_size,train_total,val_ap50,val_ap75,val_batches_per_sec,val_center,val_duration_sec,val_eval_score_filtered_predictions,val_f1,val_false_negatives,val_false_positives,val_images_per_sec,val_map50_95,val_nms_candidate_predictions,val_objectness,val_post_nms_predictions,val_post_nms_predictions_per_image,val_precision,val_raw_predictions,val_recall,val_size,val_total,val_true_positives,val_valid_predictions
NVIDIA GeForce GTX 1660 SUPER,479.52099609375,590.0,0,202.35320019721985,0.001,6.020657636121487,0.03005177370477951,140.84840083122253,12.041315272242974,0.3128943154533429,0.07180033566294027,0.6067538554253021,0.5357958078384399,0.06291905790567398,4.025423383708093,0.01094084162912445,30.555792093276978,1847159,0.03153261304521809,96.0,24106.0,8.018119748036446,0.1859251412095091,122500,0.08902260564207061,24500,100.0,0.016081632653061225,1999200,0.8040816326530612,0.045780811636761676,0.2352884379707701,394.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.52099609375,590.0,1,264.1810700893402,0.001,4.178199043100183,0.014951924132271055,202.95825815200806,8.356398086200366,0.0877585410116293,0.03592132173208432,0.2343608054710236,0.6781779527664185,0.12152361124753952,4.017358873185809,0.010440965258796526,30.617130279541016,1337237,0.036243550051599585,51.0,23296.0,8.002056292118075,0.2506712350412272,122500,0.04216990354887354,24500,100.0,0.01849589214240573,1999200,0.8959183673469387,0.03247447234457283,0.15932367360446512,439.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.52099609375,590.0,2,262.2408628463745,0.001,4.219551206961814,0.013109638919902281,200.96924018859863,8.439102413923628,0.06285106967135227,0.028099641845262837,0.18459854806544926,0.776052713394165,0.14953932166099548,3.9922633729353585,0.009538164390705345,30.809590578079224,1214738,0.03918381314967703,32.0,22429.0,7.952069320074495,0.30566759067587557,122500,0.03253259747554132,24500,100.0,0.020011360160789967,1999200,0.9346938775510204,0.026281256017623454,0.13278593098729607,458.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.52099609375,590.0,3,256.8926692008972,0.001,4.311434453177942,0.012087071691156488,196.68627905845642,8.622868906355883,0.05011812752916671,0.02450958327711494,0.15957265232803897,0.8239051103591919,0.1769327074289322,4.109217441189753,0.007784240532711875,29.932706594467163,786378,0.05188888888888889,23.0,17043.0,8.185026610499914,0.32454989228353953,122500,0.025003387643842072,24500,100.0,0.026670474014848657,1999200,0.9530612244897959,0.023035549571949657,0.10999568954594736,467.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.52099609375,590.0,4,263.5820302963257,0.001,4.187291047922585,0.01142268039511005,202.51756811141968,8.37458209584517,0.048290877225742906,0.023306019414344775,0.15201631810885133,0.7350839972496033,0.051582176238298416,4.013876998247298,0.009997517498005636,30.643689393997192,1181696,0.036366641871229025,50.0,23268.0,7.995120850167381,0.22763929538195954,122500,0.047812247633691726,24500,100.0,0.01855913615657162,1999200,0.8979591836734694,0.031542418956211425,0.16088467260928657,440.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.52099609375,590.0,5,260.5984859466553,0.001,4.270800401093618,0.011043790838777809,198.5576286315918,8.541600802187236,0.041711617940443764,0.02138147714785586,0.13969352642812258,0.8544819355010986,0.15394774079322815,3.8610757704718797,0.00795596281499072,31.856406688690186,581032,0.053211532971738515,24.0,16559.0,7.6907606810212235,0.33590961888967286,122500,0.020246089899882188,24500,100.0,0.02737151248164464,1999200,0.9510204081632653,0.02209245338534361,0.10421081088725628,466.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.52099609375,590.0,6,261.3142282962799,0.001,4.232466493319703,0.009666719466862697,200.3559865951538,8.464932986639406,0.029640783157412684,0.018191829235907994,0.11435803892925593,0.8491942286491394,0.21377316117286682,4.012449356280723,0.007868474529681318,30.654592514038086,866607,0.048153926157046285,27.0,18277.0,7.99227717307949,0.3566804116082494,122500,0.028376029478764633,24500,100.0,0.024706510138740662,1999200,0.9448979591836735,0.021900642631060587,0.11151968784690873,463.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.52099609375,590.0,7,258.364839553833,0.001,4.288043058567785,0.009499921281736911,197.75920820236206,8.57608611713557,0.030761346438150625,0.01690155978960903,0.11206407240539226,0.9006384611129761,0.2826312482357025,4.022504594736434,0.007254720740285285,30.577963829040527,651976,0.04990302458457829,14.0,18111.0,8.012305900084767,0.40696123681263996,122500,0.023472226535280544,24500,100.0,0.025609296820358316,1999200,0.9714285714285714,0.01615678554029787,0.09205940144696856,476.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.52099609375,590.0,8,258.93956446647644,0.001,4.28905851807057,0.008771774623075441,197.7123875617981,8.57811703614114,0.02586455845805588,0.01573457677199567,0.10119258513990438,0.9133172631263733,0.3492119014263153,3.9886745939560817,0.007859967740790206,30.837311267852783,291884,0.06417479730658239,23.0,13597.0,7.944920939180813,0.4313999736317783,121781,0.024864573088451858,24500,100.0,0.033205346985210465,1999200,0.9530612244897959,0.01734171652166945,0.09884784506951891,467.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.52099609375,590.0,9,261.77624678611755,0.001,4.206029607034038,0.008235059694479272,201.615318775177,8.412059214068076,0.020458433549479967,0.014006999575185374,0.08964773127150212,0.9113054871559143,0.3152328431606293,4.126090301052268,0.0092727848635305,29.81030249595642,410129,0.05193382272378656,16.0,17290.0,8.218635152502484,0.4202596978480869,122500,0.02286601444040009,24500,100.0,0.026683179464084664,1999200,0.9673469387755103,0.015588527532082385,0.1004069935893867,474.0,1999200
