cuda_gpu,cuda_peak_allocated_mb,cuda_peak_reserved_mb,epoch,epoch_duration_sec,learning_rate,train_batches_per_sec,train_center,train_duration_sec,train_images_per_sec,train_objectness,train_size,train_total,val_ap50,val_ap75,val_batches_per_sec,val_center,val_duration_sec,val_eval_score_filtered_predictions,val_f1,val_false_negatives,val_false_positives,val_images_per_sec,val_map50_95,val_nms_candidate_predictions,val_objectness,val_post_nms_predictions,val_post_nms_predictions_per_image,val_precision,val_raw_predictions,val_recall,val_size,val_total,val_true_positives,val_valid_predictions
NVIDIA GeForce GTX 1660 SUPER,479.52099609375,590.0,10,257.87791752815247,0.001,4.310408377263544,0.007778357795788632,196.7330994606018,8.620816754527088,0.02038776436227567,0.013867364648179335,0.08701428264941809,0.9083493947982788,0.349888414144516,3.950133045139944,0.00778129104074333,31.13819169998169,125701,0.08649041519033343,14.0,10041.0,7.868151187473872,0.4474248016020283,95858,0.015651349898246004,24488,99.95102040816326,0.0452600551488067,1999200,0.9714285714285714,0.015071191906368709,0.08470018854652478,476.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.52099609375,590.0,11,262.91584372520447,0.001,4.223747068401261,0.006931081431108431,200.76959776878357,8.447494136802522,0.013768670668623428,0.012361223527992514,0.07314652464361335,0.7694119215011597,0.19776758551597595,3.8941790506839284,0.008648553894401141,31.585604667663574,147640,0.062302423603793476,17.0,14221.0,7.756698109085874,0.3320027690337156,104138,0.02043238539074555,24500,100.0,0.032190009527698384,1999200,0.9653061224489796,0.014965012305173872,0.09360517943050803,473.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.52099609375,590.0,12,259.70367193222046,0.001,4.268325343405969,0.007492817341081495,198.67276549339294,8.536650686811939,0.022251687410731254,0.013039003709635372,0.08579378154453875,0.9157418012619019,0.29975321888923645,4.014713151169887,0.006170554451428626,30.637307167053223,345616,0.05662297240677559,17.0,15744.0,7.996786358021319,0.42320381536083007,122500,0.018130620839301406,24500,100.0,0.029166923598692728,1999200,0.9653061224489796,0.01539952381953173,0.0797824411827132,473.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.52099609375,590.0,13,265.097110748291,0.001,4.160461535165958,0.0059947505889348975,203.82354044914246,8.320923070331917,0.011675106308929279,0.010591333662200926,0.06283152670784027,0.9238741993904114,0.37468549609184265,4.00433772976603,0.006971723164859553,30.716689825057983,145983,0.06564704239122844,20.0,13359.0,7.976119868233149,0.4610949433670612,108075,0.02238938427810383,24500,100.0,0.03398655000361559,1999200,0.9591836734693877,0.013754153961118886,0.0847563073341924,470.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.52099609375,590.0,14,272.06255197525024,0.001,4.034665704745552,0.006138673841049686,210.17850351333618,8.069331409491104,0.012846905660276292,0.010574989596311495,0.06469025414432662,0.8705488443374634,0.24754320085048676,3.8754336937678717,0.008638289771743149,31.738383293151855,232443,0.06126126126126126,14.0,14574.0,7.7193597965295,0.383709952281788,122500,0.023824238581810056,24500,100.0,0.03162790697674418,1999200,0.9714285714285714,0.015370393332805696,0.09775647374127454,476.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.52099609375,590.0,15,259.9494571685791,0.001,4.254498287377647,0.006336515291963532,199.31844902038574,8.508996574755294,0.014270520300652727,0.01132205330982545,0.06859720337209028,0.9106196165084839,0.14765571057796478,4.018723299879403,0.0069260640515627836,30.606735229492188,111124,0.08891389983117613,16.0,9698.0,8.004774052605313,0.3407026007946115,95308,0.020484102127990286,24500,100.0,0.046598505701926855,1999200,0.9673469387755103,0.020795786408783216,0.09670599503064059,474.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.52099609375,590.0,16,256.970178604126,0.001,4.247182549648875,0.005085549187156776,199.66177344322205,8.49436509929775,0.008574766436655444,0.008942514642461352,0.05188754152062894,0.93045574426651,0.4279795289039612,4.099326862560636,0.006520230159337625,30.004926204681396,60864,0.12052730696798492,10.0,6995.0,8.165325864450047,0.4635102294356329,60864,0.01885427915343515,22187,90.55918367346939,0.06421404682274247,1999200,0.9795918367346939,0.01349131792984388,0.07843806594610214,480.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.52099609375,590.0,17,257.97805285453796,0.001,4.2857553582295695,0.004706245376237005,197.86477041244507,8.571510716459139,0.009598933219061813,0.00847144800375319,0.05007305603478772,0.7302804589271545,0.24714171886444092,4.13705536065013,0.008883364883353707,29.73129177093506,323148,0.04148668106551476,29.0,21273.0,8.240476124872211,0.33009732597747643,122500,0.030360821384663988,24500,100.0,0.02121100579736818,1999200,0.9408163265306122,0.0197916143172519,0.11436087400387458,461.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.52099609375,590.0,18,262.0620901584625,0.001,4.231026943899226,0.005485594610808272,200.42415499687195,8.462053887798453,0.014889291168590304,0.009517783651903781,0.061352831527880694,0.8797017931938171,0.3705514669418335,3.9022628075513737,0.0061875397014825384,31.52017331123352,107128,0.08405900124400212,17.0,10291.0,7.772799901220216,0.4233736815993325,96525,0.02461474353345338,24500,100.0,0.04394277220364177,1999200,0.9653061224489796,0.014494022666817395,0.08454048691120575,473.0,1999200
NVIDIA GeForce GTX 1660 SUPER,479.52099609375,590.0,19,254.6639223098755,0.001,4.317738521055412,0.0038398639673755926,196.3991093635559,8.635477042110823,0.0058544386903928896,0.006913803931312495,0.03888136635639898,0.9375629425048828,0.40376806259155273,4.023408921024102,0.006681015086549569,30.571090936660767,61570,0.1162677088422081,14.0,7222.0,8.014107200413862,0.4791892207620549,61561,0.03151615554650458,22448,91.62448979591836,0.061834242660431284,1999200,0.9714285714285714,0.011569870277156493,0.08806097121129373,476.0,1999200
