threshold,precision,recall,f1,true_positives,false_positives,false_negatives,predictions,predictions_per_image
0.9,0.1667252901864228,0.9673469387755103,0.2844284428442844,474.0,2369.0,16.0,2843.0,11.604081632653061
0.901,0.16713681241184766,0.9673469387755103,0.28502705953096813,474.0,2362.0,16.0,2836.0,11.575510204081633
0.902,0.16790648246546228,0.9673469387755103,0.28614548747358887,474.0,2349.0,16.0,2823.0,11.522448979591836
0.903,0.1687433250266999,0.9673469387755103,0.28735980600181876,474.0,2335.0,16.0,2809.0,11.465306122448979
0.904,0.16958855098389983,0.9673469387755103,0.28858447488584477,474.0,2321.0,16.0,2795.0,11.408163265306122
0.905,0.17081081081081081,0.9673469387755103,0.29035222052067383,474.0,2301.0,16.0,2775.0,11.326530612244898
0.906,0.1714905933429812,0.9673469387755103,0.2913337430854333,474.0,2290.0,16.0,2764.0,11.281632653061225
0.907,0.1721758082092263,0.9673469387755103,0.2923219241443108,474.0,2279.0,16.0,2753.0,11.236734693877551
0.908,0.1731190650109569,0.9673469387755103,0.2936802973977695,474.0,2264.0,16.0,2738.0,11.175510204081633
0.909,0.17420066152149946,0.9673469387755103,0.2952351292432264,474.0,2247.0,16.0,2721.0,11.106122448979592
0.91,0.17484323127997048,0.9673469387755103,0.2961574507966261,474.0,2237.0,16.0,2711.0,11.06530612244898
0.911,0.1762081784386617,0.9673469387755103,0.2981132075471698,474.0,2216.0,16.0,2690.0,10.979591836734693
0.912,0.17713004484304934,0.9673469387755103,0.29943145925458,474.0,2202.0,16.0,2676.0,10.922448979591836
0.913,0.17819548872180452,0.9673469387755103,0.30095238095238097,474.0,2186.0,16.0,2660.0,10.857142857142858
0.914,0.17907064601435588,0.9673469387755103,0.30219955371373924,474.0,2173.0,16.0,2647.0,10.80408163265306
0.915,0.1805026656511805,0.9673469387755103,0.3042362002567394,474.0,2152.0,16.0,2626.0,10.718367346938775
0.916,0.18160919540229886,0.9673469387755103,0.3058064516129032,474.0,2136.0,16.0,2610.0,10.653061224489797
0.917,0.18251829033500191,0.9673469387755103,0.30709426627793973,474.0,2123.0,16.0,2597.0,10.6
0.918,0.18386346004654772,0.9673469387755103,0.30899608865710565,474.0,2104.0,16.0,2578.0,10.522448979591836
0.919,0.1858094864758918,0.9673469387755103,0.31173955935547515,474.0,2077.0,16.0,2551.0,10.412244897959184
0.92,0.18735177865612648,0.9673469387755103,0.31390728476821195,474.0,2056.0,16.0,2530.0,10.326530612244898
0.921,0.18869426751592358,0.9673469387755103,0.3157894736842105,474.0,2038.0,16.0,2512.0,10.253061224489796
0.922,0.18997995991983968,0.9673469387755103,0.31758793969849247,474.0,2021.0,16.0,2495.0,10.183673469387756
0.923,0.1909750201450443,0.9673469387755103,0.3189771197846568,474.0,2008.0,16.0,2482.0,10.130612244897959
0.924,0.19190283400809716,0.9673469387755103,0.3202702702702703,474.0,1996.0,16.0,2470.0,10.081632653061224
0.925,0.19346938775510203,0.9673469387755103,0.3224489795918367,474.0,1976.0,16.0,2450.0,10.0
0.926,0.19522240527182866,0.9673469387755103,0.32488005483207677,474.0,1954.0,16.0,2428.0,9.910204081632653
0.927,0.1970074812967581,0.9673469387755103,0.3273480662983425,474.0,1932.0,16.0,2406.0,9.820408163265306
0.928,0.19932716568544995,0.9673469387755103,0.3305439330543932,474.0,1904.0,16.0,2378.0,9.706122448979592
0.929,0.20135938827527614,0.9673469387755103,0.3333333333333333,474.0,1880.0,16.0,2354.0,9.608163265306123
0.93,0.2029109589041096,0.9673469387755103,0.3354564755838641,474.0,1862.0,16.0,2336.0,9.534693877551021
0.931,0.2048401037165082,0.9673469387755103,0.33808844507845937,474.0,1840.0,16.0,2314.0,9.444897959183674
0.932,0.20644599303135888,0.9673469387755103,0.34027279253409903,474.0,1822.0,16.0,2296.0,9.371428571428572
0.933,0.20707732634338138,0.9673469387755103,0.3411299028427492,474.0,1815.0,16.0,2289.0,9.342857142857143
0.934,0.20826010544815465,0.9673469387755103,0.3427331887201735,474.0,1802.0,16.0,2276.0,9.289795918367346
0.935,0.20964175143741706,0.9673469387755103,0.34460196292257356,474.0,1787.0,16.0,2261.0,9.228571428571428
0.936,0.2113241194828355,0.9673469387755103,0.34687156970362243,474.0,1769.0,16.0,2243.0,9.155102040816326
0.937,0.2127468581687612,0.9673469387755103,0.3487858719646799,474.0,1754.0,16.0,2228.0,9.093877551020409
