threshold,precision,recall,f1,true_positives,false_positives,false_negatives,predictions,predictions_per_image
0.9,0.2298464491362764,0.9775510204081632,0.3721833721833722,479.0,1605.0,11.0,2084.0,8.506122448979593
0.901,0.2314009661835749,0.9775510204081632,0.37421875,479.0,1591.0,11.0,2070.0,8.448979591836734
0.902,0.23354461238420282,0.9775510204081632,0.3770169224714679,479.0,1572.0,11.0,2051.0,8.371428571428572
0.903,0.23503434739941118,0.9775510204081632,0.3789556962025316,479.0,1559.0,11.0,2038.0,8.318367346938775
0.904,0.2365432098765432,0.9775510204081632,0.3809145129224652,479.0,1546.0,11.0,2025.0,8.26530612244898
0.905,0.2374814080317303,0.9775510204081632,0.38213003589948147,479.0,1538.0,11.0,2017.0,8.23265306122449
0.906,0.2398597896845268,0.9775510204081632,0.3852030558906313,479.0,1518.0,11.0,1997.0,8.151020408163266
0.907,0.2407035175879397,0.9775510204081632,0.38629032258064516,479.0,1511.0,11.0,1990.0,8.122448979591837
0.908,0.24204143506821627,0.9775510204081632,0.38801134062373427,479.0,1500.0,11.0,1979.0,8.077551020408164
0.909,0.24277749619868222,0.9775510204081632,0.388956557044255,479.0,1494.0,11.0,1973.0,8.053061224489795
0.91,0.24451250638080654,0.9775510204081632,0.3911800734993875,479.0,1480.0,11.0,1959.0,7.995918367346939
0.911,0.24614594039054472,0.9775510204081632,0.3932676518883415,479.0,1467.0,11.0,1946.0,7.942857142857143
0.912,0.24741735537190082,0.9775510204081632,0.3948887056883759,479.0,1457.0,11.0,1936.0,7.90204081632653
0.913,0.2487019730010384,0.9775510204081632,0.39652317880794696,479.0,1447.0,11.0,1926.0,7.8612244897959185
0.914,0.25091671031953905,0.9775510204081632,0.3993330554397666,479.0,1430.0,11.0,1909.0,7.791836734693877
0.915,0.2547872340425532,0.9775510204081632,0.40421940928270045,479.0,1401.0,11.0,1880.0,7.673469387755102
0.916,0.2575268817204301,0.9775510204081632,0.4076595744680851,479.0,1381.0,11.0,1860.0,7.591836734693878
0.917,0.2601846822379142,0.9775510204081632,0.410982410982411,479.0,1362.0,11.0,1841.0,7.514285714285714
0.918,0.2614628820960699,0.9775510204081632,0.41257536606373824,479.0,1353.0,11.0,1832.0,7.477551020408163
0.919,0.2631868131868132,0.9775510204081632,0.41471861471861476,479.0,1341.0,11.0,1820.0,7.428571428571429
0.92,0.2658157602663707,0.9775510204081632,0.4179755671902269,479.0,1323.0,11.0,1802.0,7.355102040816327
0.921,0.2692523889825745,0.9775510204081632,0.42221242838254736,479.0,1300.0,11.0,1779.0,7.261224489795918
0.922,0.2726237905520774,0.9775510204081632,0.4263462394303516,479.0,1278.0,11.0,1757.0,7.171428571428572
0.923,0.27497129735935705,0.9775510204081632,0.4292114695340502,479.0,1263.0,11.0,1742.0,7.110204081632653
0.924,0.27719907407407407,0.9775510204081632,0.43192064923354373,479.0,1249.0,11.0,1728.0,7.053061224489796
0.925,0.2788125727590221,0.9775510204081632,0.4338768115942029,479.0,1239.0,11.0,1718.0,7.012244897959183
0.926,0.2802808660035108,0.9775510204081632,0.4356525693497044,479.0,1230.0,11.0,1709.0,6.975510204081632
0.927,0.2817647058823529,0.9775510204081632,0.4374429223744292,479.0,1221.0,11.0,1700.0,6.938775510204081
0.928,0.2829297105729474,0.9775510204081632,0.4388456252863033,479.0,1214.0,11.0,1693.0,6.910204081632653
0.929,0.28410438908659547,0.9775510204081632,0.44025735294117646,479.0,1207.0,11.0,1686.0,6.881632653061224
0.93,0.28579952267303105,0.9775510204081632,0.44228993536472766,479.0,1197.0,11.0,1676.0,6.840816326530613
0.931,0.2878605769230769,0.9775510204081632,0.4447539461467038,479.0,1185.0,11.0,1664.0,6.791836734693877
0.932,0.28960096735187424,0.9775510204081632,0.4468283582089552,479.0,1175.0,11.0,1654.0,6.751020408163265
0.933,0.29083181542197933,0.9775510204081632,0.44829199812821713,479.0,1168.0,11.0,1647.0,6.722448979591837
0.934,0.2927872860635697,0.9775510204081632,0.4506114769520226,479.0,1157.0,11.0,1636.0,6.677551020408163
0.935,0.2951324707332101,0.9775510204081632,0.4533838144817794,479.0,1144.0,11.0,1623.0,6.624489795918367
0.936,0.29671011793916824,0.9755102040816327,0.4550214183722037,478.0,1133.0,12.0,1611.0,6.575510204081633
0.937,0.29819089207735494,0.9755102040816327,0.4567606306736742,478.0,1125.0,12.0,1603.0,6.542857142857143
0.938,0.2998745294855709,0.9755102040816327,0.4587332053742802,478.0,1116.0,12.0,1594.0,6.506122448979592
0.939,0.30176767676767674,0.9755102040816327,0.4609450337512053,478.0,1106.0,12.0,1584.0,6.46530612244898
0.94,0.30253164556962026,0.9755102040816327,0.4618357487922706,478.0,1102.0,12.0,1580.0,6.448979591836735
0.941,0.30407124681933845,0.9755102040816327,0.463627546071775,478.0,1094.0,12.0,1572.0,6.416326530612245
0.942,0.30641025641025643,0.9755102040816327,0.46634146341463417,478.0,1082.0,12.0,1560.0,6.36734693877551
0.943,0.30779137153895686,0.9755102040816327,0.4679393049437102,478.0,1075.0,12.0,1553.0,6.338775510204082
0.944,0.3107932379713914,0.9755102040816327,0.4714003944773175,478.0,1060.0,12.0,1538.0,6.277551020408163
0.945,0.3144736842105263,0.9755102040816327,0.47562189054726367,478.0,1042.0,12.0,1520.0,6.204081632653061
0.946,0.31866666666666665,0.9755102040816327,0.4804020100502512,478.0,1022.0,12.0,1500.0,6.122448979591836
0.947,0.32123655913978494,0.9755102040816327,0.4833164812942366,478.0,1010.0,12.0,1488.0,6.073469387755102
0.948,0.32450780719619826,0.9755102040816327,0.4870096790626592,478.0,995.0,12.0,1473.0,6.012244897959183
0.949,0.3278463648834019,0.9755102040816327,0.49075975359342916,478.0,980.0,12.0,1458.0,5.951020408163266
0.95,0.3314840499306519,0.9755102040816327,0.49482401656314706,478.0,964.0,12.0,1442.0,5.885714285714286
0.951,0.33403361344537813,0.9734693877551021,0.49739311783107404,477.0,951.0,13.0,1428.0,5.828571428571428
0.952,0.3361522198731501,0.9734693877551021,0.499738082765846,477.0,942.0,13.0,1419.0,5.791836734693877
0.953,0.3375796178343949,0.9734693877551021,0.5013137151865475,477.0,936.0,13.0,1413.0,5.7673469387755105
0.954,0.33974358974358976,0.9734693877551021,0.5036958817317846,477.0,927.0,13.0,1404.0,5.7306122448979595
0.955,0.3419354838709677,0.9734693877551021,0.5061007957559682,477.0,918.0,13.0,1395.0,5.6938775510204085
0.956,0.3464052287581699,0.9734693877551021,0.5109801821103375,477.0,900.0,13.0,1377.0,5.6204081632653065
0.957,0.3502202643171806,0.9734693877551021,0.5151187904967602,477.0,885.0,13.0,1362.0,5.559183673469388
0.958,0.3575712143928036,0.9734693877551021,0.5230263157894737,477.0,857.0,13.0,1334.0,5.444897959183673
0.959,0.3646788990825688,0.9734693877551021,0.5305895439377085,477.0,831.0,13.0,1308.0,5.338775510204082
0.96,0.37265625,0.9734693877551021,0.5389830508474577,477.0,803.0,13.0,1280.0,5.224489795918367
0.961,0.37917329093799684,0.9734693877551021,0.5457665903890161,477.0,781.0,13.0,1258.0,5.134693877551021
0.962,0.38405797101449274,0.9734693877551021,0.5508083140877598,477.0,765.0,13.0,1242.0,5.069387755102041
0.963,0.39226973684210525,0.9734693877551021,0.5592028135990622,477.0,739.0,13.0,1216.0,4.963265306122449
0.964,0.4038950042337002,0.9734693877551021,0.570915619389587,477.0,704.0,13.0,1181.0,4.820408163265306
0.965,0.4097938144329897,0.9734693877551021,0.5767835550181378,477.0,687.0,13.0,1164.0,4.751020408163265
0.966,0.4180543382997371,0.9734693877551021,0.5849172286940527,477.0,664.0,13.0,1141.0,4.6571428571428575
0.967,0.4255129348795718,0.9734693877551021,0.5921787709497207,477.0,644.0,13.0,1121.0,4.575510204081633
0.968,0.42999096657633246,0.9714285714285714,0.5961177207263619,476.0,631.0,14.0,1107.0,4.518367346938776
0.969,0.43312101910828027,0.9714285714285714,0.5991189427312775,476.0,623.0,14.0,1099.0,4.485714285714286
0.97,0.4354986276303751,0.9714285714285714,0.6013897662665825,476.0,617.0,14.0,1093.0,4.461224489795918
0.971,0.43790248390064396,0.9714285714285714,0.6036778693722258,476.0,611.0,14.0,1087.0,4.436734693877551
0.972,0.44155844155844154,0.9714285714285714,0.6071428571428571,476.0,602.0,14.0,1078.0,4.4
0.973,0.4444444444444444,0.9714285714285714,0.6098654708520179,476.0,595.0,14.0,1071.0,4.371428571428571
0.974,0.4523809523809524,0.9693877551020408,0.6168831168831168,475.0,575.0,15.0,1050.0,4.285714285714286
0.975,0.465230166503428,0.9693877551020408,0.6287227001985439,475.0,546.0,15.0,1021.0,4.16734693877551
0.976,0.4721669980119284,0.9693877551020408,0.6350267379679144,475.0,531.0,15.0,1006.0,4.106122448979592
0.977,0.4783484390735146,0.9693877551020408,0.6405933917734322,475.0,518.0,15.0,993.0,4.053061224489796
0.978,0.4817444219066937,0.9693877551020408,0.6436314363143631,475.0,511.0,15.0,986.0,4.024489795918368
0.979,0.49120992761116855,0.9693877551020408,0.6520247083047357,475.0,492.0,15.0,967.0,3.946938775510204
0.98,0.5015839493136219,0.9693877551020408,0.6610995128740431,475.0,472.0,15.0,947.0,3.8653061224489798
0.981,0.5074946466809421,0.9673469387755103,0.6657303370786517,474.0,460.0,16.0,934.0,3.8122448979591836
0.982,0.5214521452145214,0.9673469387755103,0.6776268763402431,474.0,435.0,16.0,909.0,3.710204081632653
0.983,0.5380249716231555,0.9673469387755103,0.6914660831509847,474.0,407.0,16.0,881.0,3.595918367346939
0.984,0.5530921820303384,0.9673469387755103,0.7037861915367484,474.0,383.0,16.0,857.0,3.4979591836734696
0.985,0.5642857142857143,0.9673469387755103,0.7127819548872181,474.0,366.0,16.0,840.0,3.4285714285714284
0.986,0.5766423357664233,0.9673469387755103,0.7225609756097561,474.0,348.0,16.0,822.0,3.3551020408163263
0.987,0.5919899874843555,0.9653061224489796,0.7339022498060512,473.0,326.0,17.0,799.0,3.2612244897959184
0.988,0.6064102564102564,0.9653061224489796,0.7448818897637796,473.0,307.0,17.0,780.0,3.183673469387755
0.989,0.6323529411764706,0.9653061224489796,0.7641357027463651,473.0,275.0,17.0,748.0,3.053061224489796
0.99,0.6652601969057665,0.9653061224489796,0.787676935886761,473.0,238.0,17.0,711.0,2.9020408163265308
0.991,0.6900584795321637,0.963265306122449,0.8040885860306642,472.0,212.0,18.0,684.0,2.7918367346938777
0.992,0.7013372956909361,0.963265306122449,0.8116938950988822,472.0,201.0,18.0,673.0,2.746938775510204
0.993,0.7206106870229008,0.963265306122449,0.8244541484716157,472.0,183.0,18.0,655.0,2.673469387755102
0.994,0.7592891760904685,0.9591836734693877,0.8476104598737602,470.0,149.0,20.0,619.0,2.526530612244898
0.995,0.7912457912457912,0.9591836734693877,0.8671586715867158,470.0,124.0,20.0,594.0,2.4244897959183676
0.996,0.8271604938271605,0.9571428571428572,0.8874172185430464,469.0,98.0,21.0,567.0,2.3142857142857145
0.997,0.8698884758364313,0.9551020408163265,0.9105058365758755,468.0,70.0,22.0,538.0,2.195918367346939
0.998,0.9261477045908184,0.9469387755102041,0.9364278506559032,464.0,37.0,26.0,501.0,2.0448979591836736
0.999,0.9432773109243697,0.9163265306122449,0.9296066252587992,449.0,27.0,41.0,476.0,1.9428571428571428
